Date,Open,High,Low,Close
08/16/2024,0,0,0,2.12
08/15/2024,0,0,0,2.1
08/14/2024,0,0,0,2.17
08/13/2024,0,0,0,2.16
08/12/2024,0,0,0,2.1
08/9/2024,0,0,0,1.94
08/8/2024,0,0,0,1.85
08/7/2024,0,0,0,1.96
08/6/2024,0,0,0,1.83
08/5/2024,0,0,0,1.83
08/2/2024,0,0,0,1.89
08/1/2024,0,0,0,1.95
07/31/2024,0,0,0,1.94
07/30/2024,0,0,0,1.81
07/29/2024,0,0,0,1.9
07/26/2024,0,0,0,1.98
07/25/2024,0,0,0,2
07/24/2024,0,0,0,2
07/23/2024,0,0,0,2.13
07/22/2024,0,0,0,2.19
07/19/2024,0,0,0,1.88
07/18/2024,0,0,0,2
07/17/2024,0,0,0,1.98
07/16/2024,0,0,0,2.1
07/15/2024,0,0,0,2.12
07/12/2024,0,0,0,2.17
07/11/2024,0,0,0,2.23
07/10/2024,0,0,0,2.4
07/9/2024,0,0,0,2.42
07/8/2024,0,0,0,2.1
07/5/2024,0,0,0,2.02
07/3/2024,0,0,0,2.02
07/2/2024,0,0,0,2.06
07/1/2024,0,0,0,2.21
06/28/2024,0,0,0,2.42
06/27/2024,0,0,0,2.55
06/26/2024,0,0,0,2.45
06/25/2024,0,0,0,2.61
06/24/2024,0,0,0,2.58
06/21/2024,0,0,0,2.44
06/20/2024,0,0,0,2.39
06/18/2024,0,0,0,2.43
06/17/2024,0,0,0,2.5
06/14/2024,0,0,0,2.74
06/13/2024,0,0,0,2.79
06/12/2024,0,0,0,2.8
06/11/2024,0,0,0,2.71
06/10/2024,0,0,0,2.61
06/7/2024,0,0,0,2.46
06/6/2024,0,0,0,2.3
06/5/2024,0,0,0,2.27
06/4/2024,0,0,0,2.58
06/3/2024,0,0,0,2.55
05/31/2024,0,0,0,1.78
05/30/2024,0,0,0,1.87
05/29/2024,0,0,0,2.2
05/28/2024,0,0,0,2.29
05/24/2024,0,0,0,2.22
05/23/2024,0,0,0,2.64
05/22/2024,0,0,0,2.51
05/21/2024,0,0,0,2.52
05/20/2024,0,0,0,2.52
05/17/2024,0,0,0,2.44
05/16/2024,0,0,0,2.32
05/15/2024,0,0,0,2.12
05/14/2024,0,0,0,2.14
05/13/2024,0,0,0,2.11
05/10/2024,0,0,0,2.14
05/9/2024,0,0,0,2.03
05/8/2024,0,0,0,2.01
