Date,Open,High,Low,Close
08/16/2024,"0.3228","0.3452","0.3205","0.3324"
08/15/2024,"0.3353","0.3417","0.3209","0.3215"
08/14/2024,"0.3415","0.3457","0.3313","0.3353"
08/13/2024,"0.3344","0.3450","0.3311","0.3415"
08/12/2024,"0.3315","0.3442","0.3268","0.3350"
08/11/2024,"0.3470","0.3562","0.3311","0.3315"
08/10/2024,"0.3492","0.3521","0.3445","0.3470"
08/09/2024,"0.3408","0.3544","0.3366","0.3492"
08/08/2024,"0.3208","0.3447","0.3189","0.3408"
08/07/2024,"0.3322","0.3411","0.3161","0.3208"
08/06/2024,"0.3135","0.3370","0.3118","0.3322"
08/05/2024,"0.3490","0.3519","0.2772","0.3135"
08/04/2024,"0.3539","0.3672","0.3342","0.3490"
08/03/2024,"0.3685","0.3723","0.3493","0.3539"
08/02/2024,"0.3843","0.3945","0.3582","0.3685"
08/01/2024,"0.3892","0.3952","0.3686","0.3841"
07/31/2024,"0.4005","0.4073","0.3888","0.3897"
07/30/2024,"0.4078","0.4078","0.3947","0.4005"
07/29/2024,"0.4074","0.4268","0.4049","0.4078"
07/28/2024,"0.4175","0.4243","0.4070","0.4074"
07/27/2024,"0.4157","0.4287","0.4132","0.4175"
07/26/2024,"0.3893","0.4197","0.3893","0.4157"
07/25/2024,"0.4140","0.4142","0.3819","0.3892"
07/24/2024,"0.4110","0.4211","0.4063","0.4140"
07/23/2024,"0.4316","0.4317","0.4035","0.4110"
07/22/2024,"0.4340","0.4499","0.4287","0.4316"
07/21/2024,"0.4376","0.4389","0.4176","0.4340"
07/20/2024,"0.4391","0.4428","0.4283","0.4373"
07/19/2024,"0.4225","0.4409","0.4166","0.4391"
07/18/2024,"0.4421","0.4492","0.4201","0.4225"
07/17/2024,"0.4403","0.4562","0.4350","0.4424"
07/16/2024,"0.4372","0.4523","0.4270","0.4403"
07/15/2024,"0.4342","0.4435","0.4313","0.4372"
07/14/2024,"0.4367","0.4447","0.4254","0.4342"
07/13/2024,"0.4119","0.4461","0.4100","0.4367"
07/12/2024,"0.3969","0.4176","0.3924","0.4119"
07/11/2024,"0.3845","0.4048","0.3830","0.3969"
07/10/2024,"0.3775","0.3874","0.3718","0.3845"
07/09/2024,"0.3669","0.3805","0.3629","0.3775"
07/08/2024,"0.3561","0.3795","0.3312","0.3669"
07/07/2024,"0.3710","0.3727","0.3521","0.3567"
07/06/2024,"0.3509","0.3730","0.3467","0.3710"
07/05/2024,"0.3776","0.3798","0.3184","0.3507"
07/04/2024,"0.4008","0.4133","0.3738","0.3773"
07/03/2024,"0.4183","0.4226","0.4004","0.4004"
07/02/2024,"0.4055","0.4184","0.4019","0.4182"
07/01/2024,"0.3861","0.4078","0.3846","0.4054"
06/30/2024,"0.3865","0.3890","0.3782","0.3861"
06/29/2024,"0.3892","0.4029","0.3847","0.3865"
06/28/2024,"0.3922","0.3959","0.3850","0.3896"
06/27/2024,"0.3884","0.3935","0.3775","0.3922"
06/26/2024,"0.3937","0.3956","0.3830","0.3884"
06/25/2024,"0.3706","0.3969","0.3706","0.3937"
06/24/2024,"0.3831","0.3851","0.3633","0.3706"
06/23/2024,"0.3861","0.3927","0.3786","0.3831"
06/22/2024,"0.3790","0.3905","0.3715","0.3861"
06/21/2024,"0.3860","0.3905","0.3736","0.3791"
06/20/2024,"0.3865","0.3970","0.3772","0.3860"
06/19/2024,"0.3784","0.3975","0.3776","0.3865"
06/18/2024,"0.4075","0.4087","0.3603","0.3784"
06/17/2024,"0.4160","0.4204","0.3912","0.4075"
06/16/2024,"0.4125","0.4173","0.4092","0.4160"
06/15/2024,"0.4054","0.4154","0.4050","0.4125"
06/14/2024,"0.4217","0.4243","0.4006","0.4054"
06/13/2024,"0.4367","0.4388","0.4195","0.4217"
06/12/2024,"0.4223","0.4440","0.4145","0.4371"
06/11/2024,"0.4387","0.4411","0.4127","0.4223"
06/10/2024,"0.4443","0.4512","0.4351","0.4387"
06/09/2024,"0.4349","0.4460","0.4319","0.4443"
06/08/2024,"0.4510","0.4510","0.4327","0.4352"
06/07/2024,"0.4567","0.4896","0.4304","0.4510"
06/06/2024,"0.4630","0.4631","0.4508","0.4567"
06/05/2024,"0.4613","0.4650","0.4575","0.4630"
06/04/2024,"0.4603","0.4655","0.4528","0.4614"
06/03/2024,"0.4453","0.4629","0.4437","0.4599"
06/02/2024,"0.4500","0.4534","0.4407","0.4453"
06/01/2024,"0.4501","0.4501","0.4448","0.4500"
05/31/2024,"0.4472","0.4552","0.4436","0.4501"
05/30/2024,"0.4519","0.4547","0.4433","0.4472"
05/29/2024,"0.4570","0.4640","0.4507","0.4519"
05/28/2024,"0.4678","0.4689","0.4516","0.4570"
