Date,Open,High,Low,Close
08/16/2024,"140.24","144.80","136.26","140.62"
08/15/2024,"144.28","147.51","137.83","139.43"
08/14/2024,"145.99","151.99","143.66","144.24"
08/13/2024,"143.44","149.64","141.91","146.00"
08/12/2024,"143.90","150.76","141.30","143.47"
08/11/2024,"154.59","158.10","143.95","143.95"
08/10/2024,"153.35","158.72","151.63","154.59"
08/09/2024,"155.95","163.52","151.00","153.29"
08/08/2024,"144.69","162.57","141.48","155.96"
08/07/2024,"147.12","155.05","142.41","144.71"
08/06/2024,"131.56","148.42","129.50","147.33"
08/05/2024,"142.62","142.67","110.28","131.85"
08/04/2024,"140.75","145.90","131.59","142.53"
08/03/2024,"153.12","154.83","140.02","140.69"
08/02/2024,"164.68","169.24","149.89","153.10"
08/01/2024,"173.47","175.19","157.90","164.59"
07/31/2024,"179.50","184.26","173.40","173.40"
07/30/2024,"185.88","185.88","175.51","179.68"
07/29/2024,"185.29","193.86","182.82","185.88"
07/28/2024,"182.57","186.74","181.29","185.30"
07/27/2024,"181.41","188.25","178.22","182.88"
07/26/2024,"170.53","183.17","170.17","181.41"
07/25/2024,"180.03","180.17","165.55","170.47"
07/24/2024,"173.90","182.50","171.01","180.02"
07/23/2024,"182.55","182.55","170.72","174.02"
07/22/2024,"182.32","185.05","176.99","182.54"
07/21/2024,"173.75","184.45","170.80","182.30"
07/20/2024,"169.33","174.55","167.49","173.75"
07/19/2024,"157.94","171.34","157.94","169.33"
07/18/2024,"156.14","161.57","155.07","157.94"
07/17/2024,"159.73","163.72","154.82","156.18"
07/16/2024,"156.82","162.54","152.82","159.78"
07/15/2024,"145.72","157.16","145.54","156.74"
07/14/2024,"139.77","146.99","139.24","145.78"
07/13/2024,"138.09","140.89","137.65","139.80"
07/12/2024,"137.03","140.62","134.08","138.20"
07/11/2024,"140.78","145.52","135.77","137.03"
07/10/2024,"142.65","146.03","138.69","140.77"
07/09/2024,"138.56","144.10","136.49","142.65"
07/08/2024,"136.81","141.81","128.09","138.54"
07/07/2024,"142.65","144.14","135.54","136.77"
07/06/2024,"135.34","143.69","132.47","142.62"
07/05/2024,"134.86","136.26","121.73","135.32"
07/04/2024,"139.97","142.59","129.50","134.86"
07/03/2024,"152.88","154.74","139.25","139.92"
07/02/2024,"147.41","153.34","145.91","152.94"
07/01/2024,"144.29","149.00","143.79","147.42"
06/30/2024,"140.75","145.60","137.00","144.30"
06/29/2024,"139.83","142.95","138.86","140.76"
06/28/2024,"149.27","150.35","139.32","139.96"
06/27/2024,"137.07","150.93","135.09","149.27"
06/26/2024,"138.25","140.30","134.75","136.97"
06/25/2024,"128.11","139.79","128.11","138.27"
06/24/2024,"130.34","130.68","122.79","128.24"
06/23/2024,"134.20","135.20","129.15","130.32"
06/22/2024,"133.37","136.55","132.01","134.20"
06/21/2024,"134.17","134.77","128.68","133.32"
06/20/2024,"135.28","141.20","131.82","134.17"
06/19/2024,"136.97","141.82","134.77","135.28"
06/18/2024,"142.94","144.00","129.00","136.62"
06/17/2024,"148.80","151.50","139.96","142.94"
06/16/2024,"144.25","149.16","143.11","148.82"
06/15/2024,"141.63","145.50","141.43","144.25"
06/14/2024,"147.11","148.87","139.67","141.61"
06/13/2024,"154.92","155.59","146.19","147.11"
06/12/2024,"148.29","161.75","145.56","154.93"
06/11/2024,"159.91","160.26","145.37","148.40"
06/10/2024,"161.57","163.19","157.42","159.91"
06/09/2024,"159.30","162.93","156.63","161.52"
06/08/2024,"162.67","163.75","158.65","159.30"
06/07/2024,"170.34","172.51","154.61","162.68"
06/06/2024,"173.42","174.33","167.70","170.49"
06/05/2024,"169.55","175.40","169.04","173.42"
06/04/2024,"165.53","170.41","164.48","169.55"
06/03/2024,"163.12","167.25","161.63","165.58"
06/02/2024,"167.21","167.21","161.50","163.12"
06/01/2024,"166.41","167.69","165.18","167.21"
05/31/2024,"167.21","170.72","163.85","166.57"
05/30/2024,"168.93","172.31","163.55","167.21"
05/29/2024,"169.47","173.79","167.11","168.94"
05/28/2024,"170.45","173.00","164.86","169.37"
05/27/2024,"161.89","172.00","161.06","170.39"
05/26/2024,"166.90","168.50","161.00","162.02"
05/25/2024,"168.13","170.43","166.07","166.90"
05/24/2024,"172.21","180.39","162.90","168.13"
05/23/2024,"177.52","180.63","166.36","172.21"
05/22/2024,"177.94","183.23","175.01","177.45"
05/21/2024,"183.74","188.77","174.39","178.00"
05/20/2024,"170.09","188.00","167.75","183.86"
05/19/2024,"173.22","175.00","166.29","170.09"
05/18/2024,"168.71","175.89","167.25","173.22"
05/17/2024,"158.83","171.99","157.54","168.71"
05/16/2024,"156.89","164.47","155.62","158.80"
05/15/2024,"142.90","156.85","141.12","156.68"
05/14/2024,"148.88","149.00","141.86","142.91"
05/13/2024,"144.66","150.52","137.92","148.91"
05/12/2024,"145.77","147.61","143.74","144.65"
05/11/2024,"146.07","147.60","143.16","145.90"
05/10/2024,"150.34","155.52","145.40","146.06"
05/09/2024,"140.88","151.33","140.02","150.24"
05/08/2024,"151.26","152.03","140.36","141.05"
05/07/2024,"154.48","159.36","150.75","151.41"
05/06/2024,"145.44","156.75","144.83","154.54"
05/05/2024,"147.16","148.08","143.24","145.44"
05/04/2024,"143.89","148.97","142.54","147.18"
05/03/2024,"136.54","145.00","136.03","143.62"
05/02/2024,"131.57","140.18","128.13","136.54"
05/01/2024,"124.81","135.60","118.99","131.66"
04/30/2024,"134.95","139.70","121.23","124.85"
04/29/2024,"141.80","141.80","133.47","134.95"
04/28/2024,"141.02","144.59","139.95","141.81"
04/27/2024,"142.73","143.00","133.64","140.99"
04/26/2024,"147.45","148.75","141.52","142.65"
04/25/2024,"148.93","149.99","142.30","147.40"
04/24/2024,"156.49","159.70","147.63","148.89"
04/23/2024,"154.66","160.00","153.22","156.29"
04/22/2024,"149.28","156.69","146.89","154.70"
04/21/2024,"151.37","153.36","146.50","149.24"
04/20/2024,"143.64","152.26","139.90","151.35"
04/19/2024,"140.19","147.54","128.74","143.00"
04/18/2024,"133.48","141.44","127.95","140.25"
04/17/2024,"134.14","142.57","127.26","133.56"
04/16/2024,"136.21","140.38","126.60","134.14"
04/15/2024,"141.16","156.00","134.11","136.27"
04/14/2024,"124.77","144.00","123.53","141.18"
04/13/2024,"152.25","154.94","119.79","124.60"
04/12/2024,"174.45","175.90","144.45","152.23"
04/11/2024,"171.00","176.25","170.10","174.47"
04/10/2024,"174.99","174.99","162.13","170.91"
04/09/2024,"179.89","181.32","169.20","174.87"
04/08/2024,"178.78","184.62","175.49","179.88"
04/07/2024,"177.97","182.71","177.15","178.78"
04/06/2024,"175.97","178.91","173.64","177.88"
04/05/2024,"182.58","185.11","168.11","175.98"
04/04/2024,"183.62","190.07","180.38","182.58"
04/03/2024,"184.88","191.99","177.11","183.62"
04/02/2024,"193.83","193.93","176.00","184.89"
04/01/2024,"199.31","204.18","187.10","193.82"
03/31/2024,"194.82","200.95","193.54","199.30"
03/30/2024,"189.71","200.00","187.41","195.07"
03/29/2024,"187.59","190.84","183.34","189.68"
03/28/2024,"185.00","189.38","180.84","187.68"
03/27/2024,"189.90","192.77","180.21","184.97"
03/26/2024,"191.93","196.50","186.37","189.99"
03/25/2024,"179.20","194.50","179.20","191.95"
03/24/2024,"173.17","179.46","171.51","178.96"
03/23/2024,"170.99","178.85","168.37","173.18"
03/22/2024,"179.60","181.75","167.72","171.04"
03/21/2024,"186.66","195.62","175.87","179.67"
03/20/2024,"175.52","188.70","162.77","186.72"
03/19/2024,"200.16","204.81","170.87","175.03"
03/18/2024,"196.69","209.80","193.93","200.16"
03/17/2024,"183.13","197.99","177.11","196.69"
03/16/2024,"176.72","197.70","176.42","182.75"
03/15/2024,"168.37","188.80","165.20","176.40"
03/14/2024,"160.07","174.00","159.85","168.21"
03/13/2024,"148.36","162.00","147.10","160.17"
03/12/2024,"147.35","154.98","142.35","148.36"
03/11/2024,"145.10","150.04","137.30","147.41"
03/10/2024,"146.26","148.72","142.26","145.14"
03/09/2024,"144.54","149.41","144.10","146.27"
03/08/2024,"145.50","152.80","142.11","144.71"
03/07/2024,"132.20","149.33","130.46","145.46"
03/06/2024,"121.19","134.88","118.75","132.43"
03/05/2024,"130.40","142.45","110.51","121.43"
03/04/2024,"130.25","135.00","127.85","130.40"
03/03/2024,"128.86","131.27","125.00","130.18"
03/02/2024,"130.74","131.50","127.51","128.80"
03/01/2024,"127.93","137.74","122.85","130.74"
02/29/2024,"116.36","134.47","115.54","127.86"
02/28/2024,"109.01","116.91","107.44","116.00"
02/27/2024,"109.03","112.27","105.41","108.91"
02/26/2024,"103.50","110.39","100.35","109.03"
02/25/2024,"104.50","104.75","102.09","103.51"
02/24/2024,"101.02","104.51","98.54","104.51"
02/23/2024,"103.59","103.85","98.89","101.02"
02/22/2024,"104.59","107.02","102.13","103.50"
02/21/2024,"107.53","109.62","100.28","104.49"
02/20/2024,"112.84","113.00","104.54","107.53"
02/19/2024,"112.96","114.77","110.95","112.81"
02/18/2024,"109.35","114.00","107.60","113.09"
02/17/2024,"109.52","111.05","105.90","109.34"
02/16/2024,"112.10","114.25","108.10","109.57"
02/15/2024,"117.05","118.41","111.84","112.03"
02/14/2024,"112.95","118.63","110.76","117.04"
02/13/2024,"110.37","114.92","108.29","112.93"
02/12/2024,"107.35","111.74","103.51","110.25"
