Date,Open,High,Low,Close
2023-08-16,0,0,0,79.40
2023-08-17,0,0,0,80.43
2023-08-18,0,0,0,81.25
2023-08-21,0,0,0,80.71
2023-08-22,0,0,0,80.25
2023-08-23,0,0,0,78.91
2023-08-24,0,0,0,79.52
2023-08-25,0,0,0,80.47
2023-08-28,0,0,0,80.65
2023-08-29,0,0,0,81.14
2023-08-30,0,0,0,81.64
2023-08-31,0,0,0,83.55
2023-09-01,0,0,0,85.52
2023-09-04,0,0,0,85.85
2023-09-05,0,0,0,86.74
2023-09-06,0,0,0,87.55
2023-09-07,0,0,0,86.87
2023-09-08,0,0,0,87.51
2023-09-11,0,0,0,87.30
2023-09-12,0,0,0,88.87
2023-09-13,0,0,0,88.59
2023-09-14,0,0,0,90.13
2023-09-15,0,0,0,90.83
2023-09-18,0,0,0,91.47
2023-09-19,0,0,0,91.16
2023-09-20,0,0,0,89.20
2023-09-21,0,0,0,89.56
2023-09-22,0,0,0,90.00
2023-09-25,0,0,0,89.68
2023-09-26,0,0,0,91.43
2023-09-27,0,0,0,93.67
2023-09-28,0,0,0,91.65
2023-09-29,0,0,0,90.77
2023-10-02,0,0,0,88.81
2023-10-03,0,0,0,89.26
2023-10-04,0,0,0,84.32
2023-10-05,0,0,0,82.30
2023-10-06,0,0,0,82.83
2023-10-09,0,0,0,83.25
2023-10-10,0,0,0,85.89
2023-10-11,0,0,0,83.70
2023-10-12,0,0,0,82.87
2023-10-13,0,0,0,87.67
2023-10-16,0,0,0,86.65
2023-10-17,0,0,0,86.66
2023-10-18,0,0,0,88.35
2023-10-19,0,0,0,89.35
2023-10-20,0,0,0,89.12
2023-10-23,0,0,0,85.49
2023-10-24,0,0,0,84.58
2023-10-25,0,0,0,86.07
2023-10-26,0,0,0,83.80
2023-10-27,0,0,0,86.04
2023-10-30,0,0,0,83.03
2023-10-31,0,0,0,81.64
2023-11-01,0,0,0,81.05
2023-11-02,0,0,0,83.04
2023-11-03,0,0,0,81.19
2023-11-06,0,0,0,81.54
2023-11-07,0,0,0,77.96
2023-11-08,0,0,0,75.85
2023-11-09,0,0,0,76.34
2023-11-10,0,0,0,77.15
2023-11-13,0,0,0,78.86
2023-11-14,0,0,0,78.90
2023-11-15,0,0,0,77.15
2023-11-16,0,0,0,73.50
2023-11-17,0,0,0,76.47
2023-11-20,0,0,0,78.10
2023-11-21,0,0,0,78.35
2023-11-22,0,0,0,76.80
2023-11-23,0,0,0,75.65
2023-11-24,0,0,0,74.83
2023-11-27,0,0,0,74.46
2023-11-28,0,0,0,76.09
2023-11-29,0,0,0,77.56
2023-11-30,0,0,0,75.66
2023-12-01,0,0,0,73.70
2023-12-04,0,0,0,72.73
2023-12-05,0,0,0,71.95
2023-12-06,0,0,0,68.98
2023-12-07,0,0,0,69.00
2023-12-08,0,0,0,70.87
2023-12-11,0,0,0,70.95
2023-12-12,0,0,0,68.27
2023-12-13,0,0,0,69.09
2023-12-14,0,0,0,71.21
2023-12-15,0,0,0,71.05
2023-12-18,0,0,0,72.16
2023-12-19,0,0,0,73.23
2023-12-20,0,0,0,73.87
2023-12-21,0,0,0,73.59
2023-12-22,0,0,0,73.29
2023-12-25,0,0,0,74.25
2023-12-26,0,0,0,75.84
2023-12-27,0,0,0,74.31
2023-12-28,0,0,0,72.02
2023-12-29,0,0,0,71.89
2024-01-01,0,0,0,71.50
2024-01-02,0,0,0,70.62
2024-01-03,0,0,0,72.97
2024-01-04,0,0,0,72.38
2024-01-05,0,0,0,74.00
