Date,Open,High,Low,Close
08/16/2024,"2,546.56","2,628.07","2,535.40","2,612.28"
08/15/2024,"2,676.64","2,678.89","2,519.20","2,530.33"
08/14/2024,"2,699.95","2,776.58","2,638.24","2,676.68"
08/13/2024,"2,681.50","2,746.62","2,613.58","2,699.95"
08/12/2024,"2,555.12","2,721.58","2,515.09","2,681.04"
08/11/2024,"2,605.98","2,715.01","2,544.36","2,556.24"
08/10/2024,"2,594.86","2,642.64","2,566.95","2,605.65"
08/09/2024,"2,570.67","2,720.98","2,556.97","2,595.22"
08/08/2024,"2,349.15","2,604.99","2,317.07","2,571.27"
08/07/2024,"2,488.72","2,550.16","2,311.07","2,347.89"
08/06/2024,"2,434.46","2,550.33","2,413.28","2,488.72"
08/05/2024,"2,751.52","2,751.53","2,133.03","2,435.96"
08/04/2024,"2,891.08","2,929.67","2,648.49","2,751.44"
08/03/2024,"3,014.80","3,015.61","2,881.53","2,890.86"
08/02/2024,"3,167.62","3,214.79","2,988.21","3,015.95"
08/01/2024,"3,220.19","3,243.89","3,079.55","3,165.51"
07/31/2024,"3,278.41","3,347.76","3,216.62","3,220.64"
07/30/2024,"3,321.20","3,362.85","3,235.67","3,280.67"
07/29/2024,"3,262.05","3,395.00","3,252.50","3,326.51"
07/28/2024,"3,241.36","3,293.23","3,201.86","3,262.05"
07/27/2024,"3,254.36","3,327.56","3,196.42","3,242.85"
07/26/2024,"3,153.74","3,285.00","3,150.53","3,254.15"
07/25/2024,"3,374.43","3,374.44","3,089.67","3,153.75"
07/24/2024,"3,483.89","3,499.28","3,361.00","3,374.44"
07/23/2024,"3,487.99","3,540.34","3,396.00","3,484.90"
07/22/2024,"3,499.01","3,562.89","3,439.58","3,487.98"
07/21/2024,"3,526.01","3,528.82","3,412.19","3,499.01"
07/20/2024,"3,506.97","3,538.65","3,482.33","3,526.01"
07/19/2024,"3,414.02","3,540.64","3,382.83","3,506.81"
07/18/2024,"3,409.46","3,487.04","3,373.67","3,414.02"
07/17/2024,"3,440.95","3,515.44","3,378.09","3,415.23"
07/16/2024,"3,435.95","3,497.50","3,350.01","3,443.31"
07/15/2024,"3,200.77","3,444.61","3,198.63","3,434.57"
07/14/2024,"3,163.01","3,224.45","3,146.50","3,201.07"
07/13/2024,"3,110.69","3,169.38","3,109.45","3,163.74"
07/12/2024,"3,114.26","3,155.33","3,048.46","3,110.69"
07/11/2024,"3,095.21","3,210.51","3,058.40","3,114.12"
07/10/2024,"3,071.04","3,148.46","3,024.37","3,095.22"
07/09/2024,"2,997.89","3,110.84","2,985.81","3,071.00"
07/08/2024,"2,998.32","3,085.69","2,826.31","2,997.90"
07/07/2024,"3,063.97","3,080.02","2,957.08","2,998.32"
07/06/2024,"2,974.73","3,073.29","2,956.05","3,063.80"
07/05/2024,"3,140.72","3,168.34","2,828.61","2,973.72"
07/04/2024,"3,256.94","3,307.59","3,090.01","3,140.70"
07/03/2024,"3,414.20","3,426.49","3,255.47","3,255.57"
07/02/2024,"3,461.87","3,464.93","3,398.39","3,414.19"
07/01/2024,"3,417.38","3,516.14","3,405.00","3,462.83"
06/30/2024,"3,377.02","3,427.91","3,351.45","3,418.73"
06/29/2024,"3,383.85","3,400.00","3,362.96","3,377.02"
06/28/2024,"3,439.17","3,482.00","3,364.05","3,382.98"
06/27/2024,"3,388.00","3,470.72","3,362.00","3,440.97"
06/26/2024,"3,409.93","3,424.18","3,328.14","3,388.00"
06/25/2024,"3,308.68","3,426.88","3,306.42","3,410.28"
06/24/2024,"3,433.50","3,437.20","3,244.35","3,308.81"
06/23/2024,"3,493.48","3,519.43","3,413.57","3,433.51"
06/22/2024,"3,519.74","3,525.35","3,476.22","3,493.48"
06/21/2024,"3,524.13","3,542.85","3,445.80","3,518.95"
06/20/2024,"3,550.23","3,620.00","3,482.61","3,524.13"
06/19/2024,"3,461.13","3,586.45","3,452.89","3,550.31"
06/18/2024,"3,513.07","3,528.40","3,372.68","3,458.98"
06/17/2024,"3,595.78","3,649.60","3,466.22","3,513.59"
06/16/2024,"3,550.59","3,605.46","3,542.03","3,595.78"
06/15/2024,"3,412.03","3,589.99","3,411.32","3,550.59"
06/14/2024,"3,475.44","3,529.49","3,364.09","3,410.65"
06/13/2024,"3,554.99","3,571.96","3,429.35","3,475.44"
06/12/2024,"3,486.56","3,654.56","3,464.12","3,554.41"
06/11/2024,"3,670.51","3,675.39","3,430.48","3,486.55"
06/10/2024,"3,698.34","3,719.73","3,644.21","3,670.69"
06/09/2024,"3,672.91","3,709.98","3,665.69","3,698.33"
06/08/2024,"3,690.96","3,705.02","3,667.86","3,671.54"
06/07/2024,"3,798.28","3,837.87","3,617.40","3,690.96"
06/06/2024,"3,864.97","3,875.99","3,762.06","3,798.28"
06/05/2024,"3,807.10","3,884.41","3,778.75","3,864.98"
06/04/2024,"3,770.04","3,831.45","3,743.57","3,807.10"
06/03/2024,"3,784.00","3,847.67","3,758.64","3,771.10"
06/02/2024,"3,803.40","3,834.36","3,753.32","3,784.00"
06/01/2024,"3,789.40","3,808.00","3,740.07","3,803.40"
05/31/2024,"3,735.91","3,842.00","3,723.70","3,788.95"
05/30/2024,"3,749.68","3,821.56","3,702.01","3,736.14"
05/29/2024,"3,826.19","3,879.26","3,742.21","3,751.59"
05/28/2024,"3,889.16","3,924.15","3,771.37","3,828.31"
05/27/2024,"3,858.86","3,973.67","3,817.86","3,887.45"
05/26/2024,"3,743.41","3,879.17","3,732.50","3,858.58"
05/25/2024,"3,731.03","3,774.38","3,708.33","3,744.79"
05/24/2024,"3,760.39","3,898.12","3,630.88","3,732.40"
05/23/2024,"3,747.59","3,939.52","3,585.57","3,752.49"
05/22/2024,"3,746.21","3,818.81","3,655.00","3,746.48"
05/21/2024,"3,500.69","3,836.84","3,491.20","3,746.19"
05/20/2024,"3,074.05","3,563.99","3,050.00","3,500.00"
05/19/2024,"3,120.60","3,134.00","3,059.34","3,074.05"
05/18/2024,"3,090.36","3,144.66","3,087.13","3,120.71"
05/17/2024,"2,936.18","3,120.00","2,925.63","3,090.36"
05/16/2024,"3,022.35","3,040.93","2,927.13","2,936.18"
05/15/2024,"2,890.57","3,028.77","2,864.75","3,021.43"
05/14/2024,"2,952.39","2,957.51","2,864.75","2,890.88"
05/13/2024,"2,921.61","2,991.99","2,864.94","2,952.39"
05/12/2024,"2,921.06","2,951.99","2,901.78","2,921.62"
05/11/2024,"2,889.49","2,941.91","2,887.25","2,922.11"
05/10/2024,"3,019.99","3,056.24","2,883.93","2,889.20"
05/09/2024,"2,950.34","3,025.94","2,941.92","3,019.98"
05/08/2024,"3,047.02","3,058.40","2,938.00","2,950.29"
05/07/2024,"3,077.53","3,127.99","3,028.19","3,047.02"
05/06/2024,"3,138.14","3,217.66","3,047.10","3,077.53"
05/05/2024,"3,128.52","3,168.39","3,077.00","3,138.14"
05/04/2024,"3,113.24","3,165.00","3,096.41","3,129.12"
05/03/2024,"2,987.18","3,126.36","2,959.17","3,113.00"
05/02/2024,"2,937.89","3,012.67","2,892.78","2,987.18"
05/01/2024,"2,962.50","3,024.46","2,816.91","2,937.90"
04/30/2024,"3,176.76","3,247.51","2,919.26","2,961.18"
04/29/2024,"3,309.63","3,309.77","3,118.05","3,176.76"
04/28/2024,"3,233.61","3,346.19","3,233.61","3,309.50"
04/27/2024,"3,141.91","3,279.31","3,071.54","3,233.61"
04/26/2024,"3,174.34","3,190.86","3,103.63","3,141.00"
04/25/2024,"3,130.41","3,175.60","3,075.02","3,174.57"
04/24/2024,"3,207.39","3,291.64","3,107.56","3,129.30"
04/23/2024,"3,189.78","3,263.54","3,155.00","3,206.64"
04/22/2024,"3,149.06","3,234.55","3,130.05","3,191.23"
04/21/2024,"3,156.23","3,197.14","3,120.01","3,149.06"
04/20/2024,"3,084.04","3,169.99","3,022.49","3,156.17"
04/19/2024,"3,067.94","3,125.46","2,873.38","3,076.79"
04/18/2024,"2,973.68","3,094.00","2,955.20","3,067.94"
04/17/2024,"3,068.55","3,121.20","2,921.92","2,973.00"
04/16/2024,"3,083.60","3,127.43","2,999.23","3,068.54"
04/15/2024,"3,066.03","3,277.62","3,026.00","3,082.75"
04/14/2024,"2,919.42","3,098.55","2,864.54","3,067.61"
04/13/2024,"3,224.00","3,299.65","2,874.60","2,912.53"
04/12/2024,"3,523.82","3,551.15","3,113.68","3,224.47"
04/11/2024,"3,514.01","3,614.88","3,477.31","3,523.81"
04/10/2024,"3,512.18","3,553.01","3,411.30","3,514.01"
04/09/2024,"3,688.50","3,726.84","3,458.46","3,512.18"
04/08/2024,"3,401.95","3,710.06","3,397.30","3,689.13"
04/07/2024,"3,364.60","3,418.70","3,348.70","3,400.71"
04/06/2024,"3,336.12","3,363.10","3,310.20","3,363.10"
04/05/2024,"3,327.07","3,344.97","3,213.73","3,337.54"
04/04/2024,"3,307.51","3,443.14","3,255.10","3,329.71"
04/03/2024,"3,273.37","3,366.96","3,206.11","3,308.89"
04/02/2024,"3,496.87","3,515.00","3,215.88","3,274.01"
04/01/2024,"3,632.70","3,649.00","3,420.01","3,496.45"
03/31/2024,"3,509.01","3,652.92","3,498.47","3,633.19"
03/30/2024,"3,496.86","3,565.62","3,480.01","3,510.56"
03/29/2024,"3,562.17","3,582.44","3,477.03","3,496.86"
03/28/2024,"3,510.46","3,610.00","3,464.43","3,561.98"
03/27/2024,"3,576.38","3,661.93","3,456.90","3,510.58"
03/26/2024,"3,628.49","3,680.32","3,544.75","3,576.70"
03/25/2024,"3,415.01","3,657.79","3,408.34","3,628.49"
03/24/2024,"3,388.84","3,422.00","3,301.76","3,413.16"
03/23/2024,"3,317.07","3,433.22","3,253.36","3,388.85"
03/22/2024,"3,484.73","3,541.03","3,283.51","3,314.77"
03/21/2024,"3,462.01","3,585.00","3,412.04","3,485.50"
03/20/2024,"3,282.54","3,492.92","3,060.83","3,462.19"
03/19/2024,"3,506.74","3,545.17","3,202.11","3,281.17"
03/18/2024,"3,631.69","3,675.00","3,456.00","3,506.74"
03/17/2024,"3,617.56","3,655.46","3,415.07","3,631.69"
03/16/2024,"3,631.76","3,778.49","3,569.57","3,617.11"
03/15/2024,"3,841.95","3,929.02","3,571.38","3,627.06"
03/14/2024,"3,991.02","4,012.69","3,725.00","3,841.75"
03/13/2024,"3,951.95","4,083.12","3,935.21","3,992.16"
03/12/2024,"4,031.50","4,090.00","3,841.99","3,952.98"
03/11/2024,"3,906.69","4,084.74","3,758.47","4,031.50"
03/10/2024,"3,911.59","3,967.72","3,876.29","3,907.12"
03/09/2024,"3,917.35","3,950.00","3,880.66","3,911.58"
03/08/2024,"3,875.51","3,998.00","3,829.79","3,917.45"
