Date,Open,High,Low,Close
08/16/2024,"0.5565","0.5706","0.5544","0.5668"
08/15/2024,"0.5695","0.5740","0.5514","0.5549"
08/14/2024,"0.5762","0.5828","0.5654","0.5694"
08/13/2024,"0.5651","0.5832","0.5602","0.5762"
08/12/2024,"0.5519","0.5793","0.5459","0.5650"
08/11/2024,"0.5949","0.5954","0.5517","0.5518"
08/10/2024,"0.5782","0.6019","0.5730","0.5949"
08/09/2024,"0.6115","0.6244","0.5680","0.5790"
08/08/2024,"0.5991","0.6423","0.5793","0.6126"
08/07/2024,"0.5104","0.6388","0.4933","0.6031"
08/06/2024,"0.4910","0.5189","0.4883","0.5102"
08/05/2024,"0.5338","0.5338","0.4324","0.4909"
08/04/2024,"0.5484","0.5585","0.5144","0.5338"
08/03/2024,"0.5703","0.5767","0.5405","0.5477"
08/02/2024,"0.5883","0.5992","0.5463","0.5711"
08/01/2024,"0.6238","0.6349","0.5687","0.5878"
07/31/2024,"0.6254","0.6581","0.6209","0.6238"
07/30/2024,"0.6052","0.6370","0.5957","0.6256"
07/29/2024,"0.6009","0.6117","0.5925","0.6052"
07/28/2024,"0.5943","0.6138","0.5915","0.6009"
07/27/2024,"0.5986","0.6089","0.5827","0.5943"
07/26/2024,"0.5930","0.6092","0.5860","0.5985"
07/25/2024,"0.6270","0.6270","0.5851","0.5922"
07/24/2024,"0.5981","0.6328","0.5924","0.6270"
07/23/2024,"0.6165","0.6186","0.5810","0.5986"
07/22/2024,"0.5957","0.6229","0.5861","0.6164"
07/21/2024,"0.5953","0.6075","0.5749","0.5953"
07/20/2024,"0.5726","0.6048","0.5693","0.5953"
07/19/2024,"0.5672","0.5862","0.5421","0.5746"
07/18/2024,"0.6274","0.6374","0.5587","0.5664"
07/17/2024,"0.5831","0.6332","0.5743","0.6274"
07/16/2024,"0.5346","0.5927","0.5321","0.5834"
07/15/2024,"0.5290","0.5401","0.5213","0.5346"
07/14/2024,"0.5403","0.5408","0.5140","0.5290"
07/13/2024,"0.4710","0.5660","0.4689","0.5401"
07/12/2024,"0.4475","0.4768","0.4444","0.4711"
07/11/2024,"0.4380","0.4531","0.4363","0.4475"
07/10/2024,"0.4369","0.4423","0.4308","0.4380"
07/09/2024,"0.4283","0.4379","0.4272","0.4369"
07/08/2024,"0.4294","0.4430","0.4035","0.4283"
07/07/2024,"0.4472","0.4500","0.4220","0.4292"
07/06/2024,"0.4257","0.4491","0.4231","0.4472"
07/05/2024,"0.4443","0.4467","0.3879","0.4254"
07/04/2024,"0.4627","0.4691","0.4369","0.4442"
07/03/2024,"0.4832","0.4861","0.4617","0.4621"
07/02/2024,"0.4770","0.4878","0.4757","0.4832"
07/01/2024,"0.4739","0.4836","0.4734","0.4770"
06/30/2024,"0.4733","0.4749","0.4695","0.4739"
06/29/2024,"0.4719","0.4760","0.4688","0.4733"
06/28/2024,"0.4747","0.4800","0.4697","0.4719"
06/27/2024,"0.4708","0.4767","0.4656","0.4744"
06/26/2024,"0.4780","0.4780","0.4656","0.4708"
06/25/2024,"0.4682","0.4797","0.4682","0.4780"
06/24/2024,"0.4795","0.4819","0.4621","0.4680"
06/23/2024,"0.4875","0.4888","0.4742","0.4797"
06/22/2024,"0.4867","0.4916","0.4840","0.4875"
06/21/2024,"0.4910","0.4948","0.4797","0.4869"
06/20/2024,"0.4939","0.5018","0.4886","0.4910"
06/19/2024,"0.4871","0.4994","0.4865","0.4938"
06/18/2024,"0.5100","0.5121","0.4767","0.4870"
06/17/2024,"0.4883","0.5194","0.4840","0.5106"
06/16/2024,"0.4914","0.4989","0.4876","0.4883"
06/15/2024,"0.4696","0.5050","0.4691","0.4911"
06/14/2024,"0.4790","0.4813","0.4627","0.4699"
06/13/2024,"0.4899","0.4920","0.4790","0.4790"
06/12/2024,"0.4809","0.4976","0.4743","0.4899"
06/11/2024,"0.4959","0.4968","0.4719","0.4809"
06/10/2024,"0.4978","0.5053","0.4934","0.4959"
06/09/2024,"0.4928","0.4981","0.4915","0.4977"
06/08/2024,"0.5016","0.5016","0.4899","0.4929"
06/07/2024,"0.5207","0.5273","0.4631","0.5022"
06/06/2024,"0.5269","0.5277","0.5166","0.5210"
06/05/2024,"0.5258","0.5319","0.5245","0.5270"
06/04/2024,"0.5213","0.5300","0.5183","0.5258"
06/03/2024,"0.5126","0.5227","0.5118","0.5215"
06/02/2024,"0.5198","0.5202","0.5083","0.5126"
06/01/2024,"0.5175","0.5213","0.5169","0.5198"
05/31/2024,"0.5187","0.5250","0.5119","0.5175"
05/30/2024,"0.5229","0.5272","0.5127","0.5185"
05/29/2024,"0.5264","0.5321","0.5217","0.5229"
05/28/2024,"0.5349","0.5358","0.5212","0.5264"
05/27/2024,"0.5295","0.5405","0.5235","0.5348"
05/26/2024,"0.5395","0.5421","0.5292","0.5296"
05/25/2024,"0.5324","0.5423","0.5313","0.5395"
05/24/2024,"0.5169","0.5367","0.5148","0.5324"
05/23/2024,"0.5263","0.5449","0.5076","0.5173"
05/22/2024,"0.5396","0.5396","0.5251","0.5263"
05/21/2024,"0.5312","0.5565","0.5290","0.5396"
05/20/2024,"0.5099","0.5350","0.5067","0.5311"
05/19/2024,"0.5214","0.5236","0.5076","0.5099"
05/18/2024,"0.5241","0.5258","0.5191","0.5218"
05/17/2024,"0.5172","0.5293","0.5133","0.5243"
05/16/2024,"0.5193","0.5224","0.5124","0.5170"
05/15/2024,"0.5040","0.5198","0.4970","0.5194"
05/14/2024,"0.5075","0.5127","0.4975","0.5042"
05/13/2024,"0.5005","0.5120","0.4870","0.5075"
05/12/2024,"0.5067","0.5085","0.4992","0.5007"
05/11/2024,"0.5016","0.5072","0.4998","0.5067"
05/10/2024,"0.5193","0.5216","0.4973","0.5016"
05/09/2024,"0.5208","0.5235","0.5088","0.5193"
05/08/2024,"0.5334","0.5361","0.5178","0.5208"
05/07/2024,"0.5460","0.5472","0.5317","0.5341"
05/06/2024,"0.5295","0.5689","0.5250","0.5472"
05/05/2024,"0.5332","0.5337","0.5242","0.5295"
05/04/2024,"0.5340","0.5400","0.5278","0.5332"
05/03/2024,"0.5213","0.5366","0.5150","0.5339"
05/02/2024,"0.5142","0.5246","0.5067","0.5213"
05/01/2024,"0.4993","0.5203","0.4787","0.5142"
04/30/2024,"0.5153","0.5190","0.4882","0.4997"
04/29/2024,"0.5187","0.5189","0.4990","0.5153"
04/28/2024,"0.5183","0.5249","0.5167","0.5188"
04/27/2024,"0.5280","0.5297","0.5082","0.5183"
04/26/2024,"0.5306","0.5354","0.5147","0.5280"
04/25/2024,"0.5321","0.5328","0.5137","0.5306"
04/24/2024,"0.5532","0.5543","0.5246","0.5320"
04/23/2024,"0.5627","0.5629","0.5418","0.5532"
04/22/2024,"0.5267","0.5704","0.5229","0.5631"
04/21/2024,"0.5287","0.5366","0.5186","0.5260"
04/20/2024,"0.5049","0.5301","0.4969","0.5287"
04/19/2024,"0.5022","0.5073","0.4680","0.5039"
04/18/2024,"0.4909","0.5058","0.4860","0.5022"
04/17/2024,"0.4954","0.5074","0.4730","0.4918"
04/16/2024,"0.4929","0.5020","0.4776","0.4954"
04/15/2024,"0.4861","0.5192","0.4823","0.4929"
04/14/2024,"0.4332","0.4958","0.4332","0.4863"
04/13/2024,"0.5427","0.5505","0.4293","0.4316"
